instance,expression,feasible,objective,cost,distance,late_penalty,spoil_penalty,late_customers,spoil_customers,num_routes,runtime_sec
P-n23-k8,nearest_neighbor,True,4775.0,4775.0,746.0,0.0,4029.0,0,1,9,0.0003838539123535156
A-n38-k5,nearest_neighbor,True,21414.0,21414.0,1084.0,0.0,20330.0,0,9,5,0.001066446304321289
A-n33-k5,nearest_neighbor,True,18428.0,18428.0,977.0,0.0,17451.0,0,5,5,0.0008256435394287109
B-n35-k5,nearest_neighbor,True,26890.0,26890.0,1304.0,0.0,25586.0,0,8,5,0.001219034194946289
B-n31-k5,nearest_neighbor,True,9170.0,9170.0,887.0,0.0,8283.0,0,4,5,0.0007500648498535156
A-n48-k7,nearest_neighbor,True,10527.0,10527.0,1475.0,0.0,9052.0,0,8,7,0.001651763916015625
A-n39-k5,nearest_neighbor,True,46554.2,46554.2,1070.0,79.2,45405.0,2,9,5,0.0011408329010009766
A-n37-k6,nearest_neighbor,True,35807.0,35807.0,1334.0,0.0,34473.0,0,8,6,0.0013194084167480469
P-n16-k8,nearest_neighbor,True,497.0,497.0,497.0,0.0,0.0,0,0,8,0.0001850128173828125
A-n37-k5,nearest_neighbor,True,31994.0,31994.0,948.0,0.0,31046.0,0,9,5,0.0011408329010009766
P-n70-k10,nearest_neighbor,True,59977.0,59977.0,1010.0,0.0,58967.0,0,16,10,0.0038955211639404297
E-n76-k8,nearest_neighbor,True,82082.0,82082.0,1081.0,0.0,81001.0,0,16,8,0.004500150680541992
A-n55-k9,nearest_neighbor,True,43594.0,43594.0,1500.0,0.0,42094.0,0,8,9,0.002515554428100586
A-n54-k7,nearest_neighbor,True,48335.0,48335.0,1421.0,0.0,46914.0,0,12,7,0.0025861263275146484
A-n62-k8,nearest_neighbor,True,31563.0,31563.0,1775.0,0.0,29788.0,0,11,8,0.002821207046508789
B-n52-k7,nearest_neighbor,True,16125.0,16125.0,1276.0,0.0,14849.0,0,7,7,0.002114534378051758
B-n56-k7,nearest_neighbor,True,29673.0,29673.0,1248.0,0.0,28425.0,0,9,7,0.0023288726806640625
P-n55-k7,nearest_neighbor,True,45042.4,45042.4,754.0,0.0,44288.4,0,12,7,0.002815723419189453
P-n65-k10,nearest_neighbor,True,29620.0,29620.0,1096.0,0.0,28524.0,0,7,10,0.0038123130798339844
B-n63-k10,nearest_neighbor,True,33533.0,33533.0,2002.0,0.0,31531.0,0,11,10,0.0040700435638427734
E-n101-k14,nearest_neighbor,True,54825.0,54825.0,1658.0,0.0,53167.0,0,13,14,0.008470535278320312
E-n101-k8,nearest_neighbor,True,140678.0,140678.0,1176.0,1392.0,138110.0,3,31,8,0.012060165405273438
F-n135-k7,nearest_neighbor,True,8443658.600000001,8443658.600000001,1792.0,436872.00000000006,8004994.600000001,68,104,7,0.014871597290039062
M-n101-k10,nearest_neighbor,True,88269.0,88269.0,1299.0,0.0,86970.0,0,19,10,0.008496284484863281
M-n121-k7,nearest_neighbor,True,141250.8,141250.8,1552.0,0.0,139698.8,0,39,7,0.011673927307128906
M-n151-k12,nearest_neighbor,True,116076.0,116076.0,1547.0,0.0,114529.0,0,36,12,0.018355369567871094
M-n200-k16,nearest_neighbor,True,179990.0,179990.0,1989.0,0.0,178001.0,0,42,17,0.03446793556213379
M-n200-k17,nearest_neighbor,True,189537.4,189537.4,1989.0,0.0,187548.4,0,43,17,0.035674095153808594
P-n101-k4,nearest_neighbor,True,337836.19999999995,337836.19999999995,1021.0,16705.6,320109.6,20,54,4,0.008661508560180664
P-n23-k8,greedy,True,757.0,757.0,706.0,0.0,51.0,0,1,8,9.703636169433594e-05
A-n38-k5,greedy,True,82711.4,82711.4,1754.0,7576.0,73381.4,13,25,5,0.00023293495178222656
A-n33-k5,greedy,True,39403.200000000004,39403.200000000004,1600.0,660.0,37143.200000000004,5,16,5,0.00034046173095703125
B-n35-k5,greedy,True,112899.40000000002,112899.40000000002,2199.0,8995.199999999999,101705.20000000003,12,24,5,0.00022363662719726562
B-n31-k5,greedy,True,40554.8,40554.8,1284.0,3198.3999999999996,36072.4,4,11,5,0.00016689300537109375
A-n48-k7,greedy,True,94392.4,94392.4,2511.0,4215.200000000001,87666.2,10,30,7,0.00040435791015625
A-n39-k5,greedy,True,87437.0,87437.0,1844.0,6561.599999999999,79031.4,13,23,5,0.0002562999725341797
A-n37-k6,greedy,True,57910.0,57910.0,1885.0,3181.6,52843.4,8,18,6,0.00027370452880859375
P-n16-k8,greedy,True,531.0,531.0,531.0,0.0,0.0,0,0,8,4.38690185546875e-05
A-n37-k5,greedy,True,96521.40000000002,96521.40000000002,1841.0,5224.0,89456.40000000002,11,25,5,0.0001964569091796875
P-n70-k10,greedy,True,153706.0,153706.0,1994.0,6967.999999999999,144744.0,13,38,10,0.0007088184356689453
E-n76-k8,greedy,True,189984.80000000002,189984.80000000002,2119.0,11498.4,176367.40000000002,13,42,8,0.0008111000061035156
A-n55-k9,greedy,True,123046.59999999999,123046.59999999999,2695.0,9759.2,110592.4,14,31,9,0.0005500316619873047
A-n54-k7,greedy,True,113753.0,113753.0,2448.0,7827.199999999999,103477.8,18,36,7,0.0005183219909667969
A-n62-k8,greedy,True,135921.19999999998,135921.19999999998,3135.0,8432.8,124353.4,14,38,8,0.0006613731384277344
