expression,num_instances,feasible_rate,avg_objective,avg_cost,avg_distance,avg_late_penalty,avg_spoil_penalty,avg_late_customers,avg_spoil_customers,avg_num_routes,avg_runtime_sec,complexity,behavior_signature,is_novel,mo_score,round_idx
travel_to_c,29,1.0,355783.5034482759,355783.5034482759,1293.3793103448277,15691.337931034484,338798.7862068966,3.206896551724138,19.0,8.241379310344827,0.024454092157298123,4,"(355783.5, 8.24, 1.0, 15691.34, 338798.79, 0)",True,0.4,0
20 * est_spoil + travel_to_c + 2 * est_lateness - 0.5 * instance['demands'][c],29,1.0,415988.92413793097,415988.92413793097,1489.2413793103449,35207.66896551724,379292.0137931034,4.827586206896552,17.17241379310345,8.310344827586206,0.0520567565128721,49,"(415988.92, 8.31, 1.0, 35207.67, 379292.01, 9)",True,0.8495610813141248,0
5 * est_spoil + travel_to_c,29,1.0,451089.01379310346,451089.01379310346,1411.8275862068965,38642.20689655172,411034.97931034485,4.0,17.03448275862069,8.275862068965518,0.030585872715917128,15,"(451089.01, 8.28, 1.0, 38642.21, 411034.98, 3)",True,0.889350770354906,0
20 * est_spoil + travel_to_c + 2 * est_lateness,29,1.0,456127.33103448275,456127.33103448275,1422.1724137931035,37913.02068965517,416792.1379310345,3.8620689655172415,16.620689655172413,8.241379310344827,0.03779487774289887,26,"(456127.33, 8.24, 1.0, 37913.02, 416792.14, 5)",True,0.8878819796009463,0
travel_to_c,29,1.0,355783.5034482759,355783.5034482759,1293.3793103448277,15691.337931034484,338798.7862068966,3.206896551724138,19.0,8.241379310344827,0.02279940966902108,4,"(355783.5, 8.24, 1.0, 15691.34, 338798.79, 0)",False,0.4,1
2 * est_lateness + travel_to_c + 10 * est_spoil - 0.1 * instance['demands'][c],29,1.0,397709.46896551724,397709.46896551724,1455.6896551724137,31551.668965517227,364702.11034482764,4.724137931034483,17.96551724137931,8.241379310344827,0.04736859222938274,49,"(397709.47, 8.24, 1.0, 31551.67, 364702.11, 9)",True,0.6951412631422385,1
10 * est_spoil + travel_to_c + 1.5 * est_lateness - 0.3 * instance['demands'][c],29,1.0,400173.64827586204,400173.64827586204,1470.655172413793,33152.7448275862,365550.24827586213,4.931034482758621,17.82758620689655,8.310344827586206,0.04743118943839238,49,"(400173.65, 8.31, 1.0, 33152.74, 365550.25, 9)",True,0.7753722879718415,1
5 * est_spoil + travel_to_c + est_lateness - 0.2 * instance['demands'][c],29,1.0,409993.94482758624,409993.94482758624,1454.4827586206898,35307.33793103449,373232.12413793104,4.724137931034483,18.310344827586206,8.241379310344827,0.04769580117587385,44,"(409993.94, 8.24, 1.0, 35307.34, 373232.12, 8)",True,0.7440870472030187,1
15 * est_spoil + travel_to_c + 2 * est_lateness - 0.25 * instance['demands'][c],29,1.0,410479.92413793097,410479.92413793097,1442.4827586206898,34243.44827586207,374793.99310344824,4.827586206896552,18.03448275862069,8.275862068965518,0.04656865678984543,49,"(410479.92, 8.28, 1.0, 34243.45, 374793.99, 9)",True,0.7699493333193956,1
(0.01 * remaining + 1) * travel_to_c + 10 * est_spoil + 1.5 * est_lateness - 0.3 * instance['demands'][c],29,1.0,373134.2413793103,373134.2413793103,1441.0689655172414,23141.075862068963,348552.0965517242,4.275862068965517,17.551724137931036,8.241379310344827,0.06291313829093144,65,"(373134.24, 8.24, 1.0, 23141.08, 348552.1, 13)",True,0.41962655006809557,2
