expression,num_instances,feasible_rate,avg_cost,avg_runtime_sec,avg_num_routes,complexity,behavior_signature,is_novel,mo_score,round_idx
dist_matrix[current][c],29,1.0,1293.3793103448277,0.02649175709691541,8.241379310344827,18,"(1293.38, 8.24, 1.0, 3)",True,0.625,0
0.3 * dist_matrix[c][instance['depot']] + dist_matrix[current][c],29,1.0,1309.7241379310344,0.045509182173630286,8.172413793103448,46,"(1309.72, 8.17, 1.0, 9)",True,0.6242827868852457,0
dist_matrix[current][c] - instance['demands'][c],29,1.0,1371.0,0.036644697189331055,8.172413793103448,35,"(1371.0, 8.17, 1.0, 7)",True,0.6956747658079626,0
dist_matrix[current][c] - 2 * instance['demands'][c],29,1.0,1455.1724137931035,0.041867987862948715,8.172413793103448,40,"(1455.17, 8.17, 1.0, 8)",True,0.8296545667447309,0
dist_matrix[current][c] + instance['demands'][c],29,1.0,1461.655172413793,0.04021287786549535,8.310344827586206,35,"(1461.66, 8.31, 1.0, 7)",True,0.9803571428571429,0
dist_matrix[c][instance['depot']] / (1 + remaining) + dist_matrix[current][c],29,1.0,1274.8275862068965,0.04964688728595602,8.172413793103448,53,"(1274.83, 8.17, 1.0, 10)",True,0.5691176470588236,1
dist_matrix[current][c] - instance['demands'][c] / (1 + remaining),29,1.0,1277.8620689655172,0.046031072221953295,8.172413793103448,47,"(1277.86, 8.17, 1.0, 9)",True,0.563856293812862,1
instance['demands'][c] / (1 + remaining) + dist_matrix[current][c],29,1.0,1288.448275862069,0.04621629879392426,8.241379310344827,47,"(1288.45, 8.24, 1.0, 9)",True,0.6262834311185617,1
0.2 * dist_matrix[c][instance['depot']] + dist_matrix[current][c],29,1.0,1293.3793103448277,0.046809549989371466,8.172413793103448,46,"(1293.38, 8.17, 1.0, 9)",True,0.5806013791526975,1
0.3 * dist_matrix[c][instance['depot']] + dist_matrix[current][c] - instance['demands'][c] / (1 + remaining),29,1.0,1296.6896551724137,0.06263941731946222,8.172413793103448,74,"(1296.69, 8.17, 1.0, 14)",True,0.625663860103627,1
0.2 * dist_matrix[c][instance['depot']] + 0.8 * dist_matrix[current][c] - 0.1 * instance['demands'][c],29,1.0,1311.2758620689656,0.06053585019604913,8.172413793103448,72,"(1311.28, 8.17, 1.0, 14)",True,0.6398454167936607,1
(instance['demands'][c] / (1 + remaining) + 1) * dist_matrix[current][c],29,1.0,1314.1724137931035,0.04974121060864679,8.275862068965518,52,"(1314.17, 8.28, 1.0, 10)",True,0.6888339111551365,1
dist_matrix[current][c] - 0.5 * instance['demands'][c],29,1.0,1315.6206896551723,0.04186449379756533,8.172413793103448,40,"(1315.62, 8.17, 1.0, 8)",True,0.597886981865285,1
0.3 * dist_matrix[c][instance['depot']] + dist_matrix[current][c] + instance['demands'][c] / (1 + remaining),29,1.0,1320.8275862068965,0.067428942384391,8.172413793103448,74,"(1320.83, 8.17, 1.0, 14)",True,0.6539993523316063,1
0.3 * dist_matrix[c][instance['depot']] + dist_matrix[current][c] - 0.5 * instance['demands'][c],29,1.0,1324.0689655172414,0.05662428099533607,8.172413793103448,67,"(1324.07, 8.17, 1.0, 13)",True,0.647510286498019,1
0.5 * dist_matrix[c][instance['depot']] + dist_matrix[current][c],29,1.0,1327.448275862069,0.046082233560496365,8.241379310344827,46,"(1327.45, 8.24, 1.0, 9)",True,0.6705949024687597,1
0.25 * dist_matrix[c][instance['depot']] + dist_matrix[current][c] - 0.5 * instance['demands'][c],29,1.0,1327.5172413793102,0.05662788193801354,8.172413793103448,67,"(1327.52, 8.17, 1.0, 13)",True,0.6515582139591587,1
0.3 * dist_matrix[c][instance['depot']] + dist_matrix[current][c] + 0.1 * instance['demands'][c],29,1.0,1342.2413793103449,0.05685796408817686,8.206896551724139,67,"(1342.24, 8.21, 1.0, 13)",True,0.6938428642182269,1
dist_matrix[c][instance['depot']] + dist_matrix[current][c],29,1.0,1362.896551724138,0.041125355095698916,8.241379310344827,41,"(1362.9, 8.24, 1.0, 8)",True,0.7048546555928071,1
0.2 * dist_matrix[c][instance['depot']] + dist_matrix[current][c] - instance['demands'][c],29,1.0,1379.0344827586207,0.05425770529385271,8.172413793103448,62,"(1379.03, 8.17, 1.0, 12)",True,0.7046813090521183,1
(0.3 * dist_matrix[c][instance['depot']] + dist_matrix[current][c]) / (1 + instance['demands'][c]),29,1.0,1440.6896551724137,0.06552997950849862,8.172413793103448,68,"(1440.69, 8.17, 1.0, 13)",True,0.7858817814690643,1
0.2 * dist_matrix[c][instance['depot']] + (dist_matrix[current][c] - 2 * instance['demands'][c]),29,1.0,1461.2068965517242,0.06302590205751617,8.172413793103448,67,"(1461.21, 8.17, 1.0, 13)",True,0.8084963616275527,1
0.1 * dist_matrix[c][instance['depot']] + (dist_matrix[current][c] + instance['demands'][c]),29,1.0,1475.551724137931,0.06150417492307465,8.379310344827585,62,"(1475.55, 8.38, 1.0, 12)",True,0.9679827986894239,1
0.4 * dist_matrix[c][instance['depot']] + dist_matrix[current][c] + instance['demands'][c],29,1.0,1487.7931034482758,0.05759618200104812,8.379310344827585,62,"(1487.79, 8.38, 1.0, 12)",True,0.9823529411764707,1
0.5 * dist_matrix[c][instance['depot']] / (1 + remaining) + dist_matrix[current][c],29,1.0,1274.0,0.05082201957702637,8.172413793103448,58,"(1274.0, 8.17, 1.0, 11)",True,0.6060869565217397,2
2 * dist_matrix[current][c] - dist_matrix[c][instance['depot']] / (1 + remaining),29,1.0,1277.5172413793102,0.05023535366716056,8.241379310344827,58,"(1277.52, 8.24, 1.0, 11)",True,0.6667405010396542,2
(dist_matrix[c][instance['depot']] + instance['demands'][c]) / (1 + remaining) + dist_matrix[current][c],29,1.0,1293.5862068965516,0.06250667572021484,8.241379310344827,69,"(1293.59, 8.24, 1.0, 13)",True,0.6936393459428986,2
0.3 * dist_matrix[c][instance['depot']] + dist_matrix[current][c],29,1.0,1309.7241379310344,0.04517146636699808,8.172413793103448,46,"(1309.72, 8.17, 1.0, 9)",False,0.5866379619662726,2
0.75 * dist_matrix[c][instance['depot']] + dist_matrix[current][c],29,1.0,1332.0689655172414,0.04318192087370774,8.241379310344827,46,"(1332.07, 8.24, 1.0, 9)",True,0.65078989184479,2
(dist_matrix[c][instance['depot']] + dist_matrix[current][c]) / (1 + remaining),29,1.0,1362.896551724138,0.05154191214462806,8.241379310344827,53,"(1362.9, 8.24, 1.0, 10)",True,0.6717354086296852,2
(dist_matrix[current][c] + instance['demands'][c]) / (2 + remaining),29,1.0,1461.655172413793,0.049591730380880425,8.310344827586206,47,"(1461.66, 8.31, 1.0, 9)",True,0.7370424352639919,2
0.4 * dist_matrix[c][instance['depot']] + dist_matrix[current][c] / (1 + remaining),29,1.0,1974.551724137931,0.05184154674924653,8.172413793103448,58,"(1974.55, 8.17, 1.0, 11)",True,0.736257646972301,2
dist_matrix[current][c] - (1 + remaining) * instance['demands'][c],29,1.0,2362.0344827586205,0.04794992249587487,8.137931034482758,46,"(2362.03, 8.14, 1.0, 9)",True,0.7521695115075093,2
dist_matrix[c][instance['depot']] - 0.5 * instance['demands'][c] / (1 + remaining),29,1.0,2619.448275862069,0.0508885959099079,8.172413793103448,56,"(2619.45, 8.17, 1.0, 11)",True,0.8517391304347832,2
0.8 * dist_matrix[current][c] - 0.2 * dist_matrix[c][instance['depot']],29,1.0,1262.8620689655172,0.051718670746375775,8.172413793103448,51,"(1262.86, 8.17, 1.0, 10)",True,0.55,3
