expression,num_instances,feasible_rate,avg_cost,avg_runtime_sec,avg_num_routes,complexity,behavior_signature,is_novel,mo_score,round_idx
dist_matrix[current][c],29,1.0,1293.3793103448277,0.026036903775971513,8.241379310344827,18,"(1293.38, 8.24, 1.0, 3)",True,0.625,0
0.3 * dist_matrix[c][instance['depot']] + dist_matrix[current][c],29,1.0,1309.7241379310344,0.04857065759856125,8.172413793103448,46,"(1309.72, 8.17, 1.0, 9)",True,0.6242827868852457,0
dist_matrix[current][c] - instance['demands'][c],29,1.0,1371.0,0.03672591571150155,8.172413793103448,35,"(1371.0, 8.17, 1.0, 7)",True,0.6956747658079626,0
dist_matrix[current][c] - 2 * instance['demands'][c],29,1.0,1455.1724137931035,0.042210800894375504,8.172413793103448,40,"(1455.17, 8.17, 1.0, 8)",True,0.8296545667447309,0
dist_matrix[current][c] + instance['demands'][c],29,1.0,1461.655172413793,0.03693479505078546,8.310344827586206,35,"(1461.66, 8.31, 1.0, 7)",True,0.9803571428571429,0
dist_matrix[current][c] - 0.2 * dist_matrix[c][instance['depot']],29,1.0,1260.0689655172414,0.04513806310193292,8.172413793103448,46,"(1260.07, 8.17, 1.0, 9)",True,0.5818181818181819,1
dist_matrix[current][c] - (dist_matrix[c][instance['depot']] + instance['demands'][c]) * 0.2,29,1.0,1274.7586206896551,0.058684077756158234,8.172413793103448,62,"(1274.76, 8.17, 1.0, 12)",True,0.6182175846732809,1
0.2 * dist_matrix[c][instance['depot']] + dist_matrix[current][c],29,1.0,1293.3793103448277,0.04434804258675411,8.172413793103448,46,"(1293.38, 8.17, 1.0, 9)",True,0.6231284794575935,1
dist_matrix[current][c],29,1.0,1293.3793103448277,0.02695875332273286,8.241379310344827,18,"(1293.38, 8.24, 1.0, 3)",False,0.6663102976394116,1
0.1 * remaining + (dist_matrix[current][c] - 0.3 * instance['demands'][c]),29,1.0,1294.3103448275863,0.04948535458794955,8.172413793103448,51,"(1294.31, 8.17, 1.0, 10)",True,0.6299649332877182,1
dist_matrix[current][c] - 0.2 * dist_matrix[c][instance['depot']],29,1.0,1260.0689655172414,0.04458845072779162,8.172413793103448,46,"(1260.07, 8.17, 1.0, 9)",False,0.5818181818181819,2
dist_matrix[current][c] - (dist_matrix[c][instance['depot']] + instance['demands'][c]) * 0.2,29,1.0,1274.7586206896551,0.05784314254234577,8.172413793103448,62,"(1274.76, 8.17, 1.0, 12)",False,0.6930131004366812,2
0.2 * dist_matrix[c][instance['depot']] + dist_matrix[current][c],29,1.0,1293.3793103448277,0.044256358311094084,8.172413793103448,46,"(1293.38, 8.17, 1.0, 9)",False,0.7927352123858685,2
dist_matrix[current][c],29,1.0,1293.3793103448277,0.025613743683387494,8.241379310344827,18,"(1293.38, 8.24, 1.0, 3)",False,0.9109170305676867,2
0.1 * remaining + (dist_matrix[current][c] - 0.3 * instance['demands'][c]),29,1.0,1294.3103448275863,0.04905999940017174,8.172413793103448,51,"(1294.31, 8.17, 1.0, 10)",False,0.8043122270742368,2
dist_matrix[current][c] - 0.2 * dist_matrix[c][instance['depot']],29,1.0,1260.0689655172414,0.0463342337772764,8.172413793103448,46,"(1260.07, 8.17, 1.0, 9)",False,0.5818181818181819,3
dist_matrix[current][c] - (dist_matrix[c][instance['depot']] + instance['demands'][c]) * 0.2,29,1.0,1274.7586206896551,0.058395566611454404,8.172413793103448,62,"(1274.76, 8.17, 1.0, 12)",False,0.6930131004366812,3
0.2 * dist_matrix[c][instance['depot']] + dist_matrix[current][c],29,1.0,1293.3793103448277,0.044185679534385944,8.172413793103448,46,"(1293.38, 8.17, 1.0, 9)",False,0.7927352123858685,3
dist_matrix[current][c],29,1.0,1293.3793103448277,0.025927814944037075,8.241379310344827,18,"(1293.38, 8.24, 1.0, 3)",False,0.9109170305676867,3
0.1 * remaining + (dist_matrix[current][c] - 0.3 * instance['demands'][c]),29,1.0,1294.3103448275863,0.05024012203874259,8.172413793103448,51,"(1294.31, 8.17, 1.0, 10)",False,0.8043122270742368,3
